INFO:Classification:kernel_l1 70 | kernel_l2 33 | kernel_l3 17
INFO:Classification:Epoch 1/30 | Train/Loss 0.630 Acc 0.899 | Val/Loss 0.141 Acc 96.260 Time 407.90s
INFO:Classification:Epoch 2/30 | Train/Loss 0.169 Acc 0.955 | Val/Loss 0.112 Acc 97.020 Time 407.52s
INFO:Classification:Epoch 3/30 | Train/Loss 0.149 Acc 0.961 | Val/Loss 0.085 Acc 97.580 Time 407.65s
INFO:Classification:Epoch 4/30 | Train/Loss 0.120 Acc 0.968 | Val/Loss 0.087 Acc 97.890 Time 407.53s
INFO:Classification:Epoch 5/30 | Train/Loss 0.103 Acc 0.971 | Val/Loss 0.071 Acc 98.030 Time 407.72s
INFO:Classification:Epoch 6/30 | Train/Loss 0.102 Acc 0.972 | Val/Loss 0.070 Acc 98.160 Time 407.66s
INFO:Classification:Epoch 7/30 | Train/Loss 0.094 Acc 0.973 | Val/Loss 0.079 Acc 97.970 Time 407.81s
INFO:Classification:Epoch 8/30 | Train/Loss 0.084 Acc 0.976 | Val/Loss 0.059 Acc 98.420 Time 407.70s
INFO:Classification:Epoch 9/30 | Train/Loss 0.081 Acc 0.977 | Val/Loss 0.057 Acc 98.290 Time 407.95s
INFO:Classification:Epoch 10/30 | Train/Loss 0.079 Acc 0.977 | Val/Loss 0.064 Acc 98.220 Time 407.95s
INFO:Classification:Epoch 11/30 | Train/Loss 0.076 Acc 0.978 | Val/Loss 0.071 Acc 97.830 Time 407.74s
INFO:Classification:Epoch 12/30 | Train/Loss 0.075 Acc 0.978 | Val/Loss 0.067 Acc 98.170 Time 407.87s
INFO:Classification:Epoch 13/30 | Train/Loss 0.071 Acc 0.979 | Val/Loss 0.066 Acc 98.070 Time 407.87s
INFO:Classification:Epoch 14/30 | Train/Loss 0.075 Acc 0.978 | Val/Loss 0.067 Acc 98.130 Time 407.92s
INFO:Classification:Epoch 15/30 | Train/Loss 0.069 Acc 0.980 | Val/Loss 0.045 Acc 98.760 Time 407.60s
INFO:Classification:Epoch 16/30 | Train/Loss 0.070 Acc 0.980 | Val/Loss 0.051 Acc 98.570 Time 407.56s
INFO:Classification:Epoch 17/30 | Train/Loss 0.064 Acc 0.981 | Val/Loss 0.068 Acc 97.900 Time 407.70s
INFO:Classification:Epoch 18/30 | Train/Loss 0.067 Acc 0.980 | Val/Loss 0.049 Acc 98.590 Time 407.83s
INFO:Classification:Epoch 19/30 | Train/Loss 0.066 Acc 0.981 | Val/Loss 0.049 Acc 98.570 Time 407.72s
INFO:Classification:Epoch 20/30 | Train/Loss 0.062 Acc 0.981 | Val/Loss 0.045 Acc 98.630 Time 407.45s
INFO:Classification:Epoch 21/30 | Train/Loss 0.062 Acc 0.981 | Val/Loss 0.061 Acc 98.250 Time 407.57s
INFO:Classification:Epoch 22/30 | Train/Loss 0.062 Acc 0.982 | Val/Loss 0.063 Acc 98.240 Time 407.66s
INFO:Classification:Epoch 23/30 | Train/Loss 0.062 Acc 0.981 | Val/Loss 0.061 Acc 98.320 Time 407.80s
INFO:Classification:Epoch 24/30 | Train/Loss 0.062 Acc 0.981 | Val/Loss 0.058 Acc 98.430 Time 407.58s
INFO:Classification:Epoch 25/30 | Train/Loss 0.058 Acc 0.983 | Val/Loss 0.056 Acc 98.430 Time 407.84s
INFO:Classification:Epoch 26/30 | Train/Loss 0.060 Acc 0.982 | Val/Loss 0.046 Acc 98.620 Time 407.55s
INFO:Classification:Epoch 27/30 | Train/Loss 0.059 Acc 0.982 | Val/Loss 0.048 Acc 98.600 Time 407.81s
INFO:Classification:Epoch 28/30 | Train/Loss 0.058 Acc 0.982 | Val/Loss 0.054 Acc 98.310 Time 407.63s
INFO:Classification:Epoch 29/30 | Train/Loss 0.057 Acc 0.983 | Val/Loss 0.046 Acc 98.600 Time 407.69s
INFO:Classification:Epoch 30/30 | Train/Loss 0.058 Acc 0.983 | Val/Loss 0.048 Acc 98.520 Time 407.58s
INFO:Classification:Best validation accuracy:98.760%






